                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.71474,                  1.189,                0.68973,                0.96174,                0.27958,                0.30988,                0.24636,                0.13161,                0.26706,                0.30025,                0.22188,                0.09401,                 1.7506,                 4.9756,                 2.2554,                 1.6772,             0.00073953,             0.00073953,             0.00073953
                     49,                0.66785,                 1.1477,                0.63495,                0.95232,                0.51124,                0.23145,                  0.214,                0.11554,                0.50381,                0.22645,                0.20291,                0.09617,                 1.7931,                 5.3177,                 2.3838,                 1.7516,             0.00074988,             0.00074988,             0.00074988
                     50,                0.68702,                 1.2792,                0.68968,                0.97597,                0.51124,                0.23145,                  0.214,                0.11554,                0.50381,                0.22645,                0.20291,                0.09617,                 1.7931,                 5.3177,                 2.3838,                 1.7516,              0.0007525,              0.0007525,              0.0007525
                     51,                0.65332,                 1.0416,                0.62486,                0.96124,                0.54419,                0.19553,                0.19883,                0.10199,                0.54419,                0.19553,                0.18908,                0.08633,                  1.778,                 5.2105,                 2.3899,                 1.7205,              0.0007525,              0.0007525,              0.0007525
                     52,                0.64151,                 1.1544,                0.63298,                0.96196,                0.54419,                0.19553,                0.19883,                0.10199,                0.54419,                0.19553,                0.18908,                0.08633,                  1.778,                 5.2105,                 2.3899,                 1.7205,             0.00074755,             0.00074755,             0.00074755
                     53,                0.66463,                 1.0321,                0.61669,                0.95038,                   0.48,                0.19792,                0.17232,                0.09106,                0.50646,                0.20082,                0.16969,                0.07769,                 1.7671,                 4.9885,                 2.4073,                 1.6733,              0.0007426,              0.0007426,              0.0007426
                     54,                0.66311,                 1.1166,                0.65679,                0.95661,                   0.48,                0.19792,                0.17232,                0.09106,                0.50646,                0.20082,                0.16969,                0.07769,                 1.7671,                 4.9885,                 2.4073,                 1.6733,             0.00073765,             0.00073765,             0.00073765
                     55,                0.66355,                 1.0624,                0.62247,                0.97193,                0.42585,                0.22775,                0.16973,                0.08189,                0.41942,                0.20423,                0.15298,                0.06248,                 1.8694,                 4.9886,                 2.5008,                 1.7592,              0.0007327,              0.0007327,              0.0007327
                     56,                0.65508,                 1.1121,                0.61035,                0.92737,                0.42585,                0.22775,                0.16973,                0.08189,                0.41942,                0.20423,                0.15298,                0.06248,                 1.8694,                 4.9886,                 2.5008,                 1.7592,             0.00072775,             0.00072775,             0.00072775
                     57,                0.63008,                 1.0968,                0.59558,                0.95567,                0.38517,                0.17331,                0.15117,                0.07162,                0.39111,                  0.172,                0.13309,                0.05638,                 1.9074,                 4.8303,                 2.6786,                 1.7821,              0.0007228,              0.0007228,              0.0007228
                     58,                0.61139,                0.93459,                0.58856,                0.93643,                0.38517,                0.17331,                0.15117,                0.07162,                0.39111,                  0.172,                0.13309,                0.05638,                 1.9074,                 4.8303,                 2.6786,                 1.7821,             0.00071785,             0.00071785,             0.00071785
                     59,                0.64611,                 1.0028,                0.61212,                0.93988,                0.46842,                0.17553,                0.16272,                0.06693,                 0.4651,                0.17553,                0.14852,                0.05597,                 2.0072,                 4.9413,                 3.0396,                 1.8958,              0.0007129,              0.0007129,              0.0007129
                     60,                0.65498,                 1.0178,                0.65299,                0.95521,                0.46842,                0.17553,                0.16272,                0.06693,                 0.4651,                0.17553,                0.14852,                0.05597,                 2.0072,                 4.9413,                 3.0396,                 1.8958,             0.00070795,             0.00070795,             0.00070795
                     61,                0.71281,                 1.1253,                0.65901,                0.98077,                0.44494,                0.14109,                0.13588,                0.05826,                0.46485,                0.14507,                0.13094,                0.05449,                 2.0654,                 4.8411,                 3.1146,                 1.9045,               0.000703,               0.000703,               0.000703
